group,class_year,school_count,nmsf_count
All balanced count schools,2023,75,325.000000
All balanced count schools,2024,75,362.000000
All balanced count schools,2025,75,288.000000
All balanced count schools,2026,75,380.000000
Balanced count schools excluding TJHSST,2023,74,193.000000
Balanced count schools excluding TJHSST,2024,74,197.000000
Balanced count schools excluding TJHSST,2025,74,207.000000
Balanced count schools excluding TJHSST,2026,74,267.000000
Balanced base public including program,2023,58,167.000000
Balanced base public including program,2024,58,171.000000
Balanced base public including program,2025,58,173.000000
Balanced base public including program,2026,58,232.000000
Balanced conventional base public,2023,57,164.000000
Balanced conventional base public,2024,57,170.000000
Balanced conventional base public,2025,57,170.000000
Balanced conventional base public,2026,57,226.000000
Balanced private schools,2023,16,26.000000
Balanced private schools,2024,16,26.000000
Balanced private schools,2025,16,34.000000
Balanced private schools,2026,16,35.000000
TJHSST,2023,1,132.000000
TJHSST,2024,1,165.000000
TJHSST,2025,1,81.000000
TJHSST,2026,1,113.000000
