group,class_year,operating_school_rows,observed_count_rows,missing_count_rows,observed_nmsf_total,rate_compatible_rows,rate_compatible_nmsf_count,rate_compatible_grade11_enrollment,covered_nmsf_per_100_grade11,count_coverage_pct,rate_coverage_pct
All TJ-zone roster rows,2023,76,76,0,325.000000,71,313.000000,31087.000000,1.006852,100.000000,93.421053
All TJ-zone roster rows,2024,76,76,0,367.000000,60,341.000000,30321.000000,1.124633,100.000000,78.947368
All TJ-zone roster rows,2025,76,75,1,288.000000,70,274.000000,32216.000000,0.850509,98.684211,92.105263
All TJ-zone roster rows,2026,76,76,0,385.000000,61,359.000000,31527.000000,1.138707,100.000000,80.263158
TJ-zone excluding TJHSST,2023,75,75,0,193.000000,70,181.000000,30626.000000,0.591001,100.000000,93.333333
TJ-zone excluding TJHSST,2024,75,75,0,202.000000,59,176.000000,29880.000000,0.589023,100.000000,78.666667
TJ-zone excluding TJHSST,2025,75,74,1,207.000000,69,193.000000,31712.000000,0.608602,98.666667,92.000000
TJ-zone excluding TJHSST,2026,75,75,0,272.000000,60,246.000000,31004.000000,0.793446,100.000000,80.000000
All public including TJHSST,2023,60,60,0,299.000000,60,299.000000,30108.000000,0.993092,100.000000,100.000000
All public including TJHSST,2024,60,60,0,341.000000,60,341.000000,30321.000000,1.124633,100.000000,100.000000
All public including TJHSST,2025,60,59,1,254.000000,59,254.000000,31201.000000,0.814076,98.333333,98.333333
All public including TJHSST,2026,60,60,0,350.000000,60,350.000000,31487.000000,1.111570,100.000000,100.000000
Base public including secondary program,2023,59,59,0,167.000000,59,167.000000,29647.000000,0.563295,100.000000,100.000000
Base public including secondary program,2024,59,59,0,176.000000,59,176.000000,29880.000000,0.589023,100.000000,100.000000
Base public including secondary program,2025,59,58,1,173.000000,58,173.000000,30697.000000,0.563573,98.305085,98.305085
Base public including secondary program,2026,59,59,0,237.000000,59,237.000000,30964.000000,0.765405,100.000000,100.000000
Conventional base public high schools,2023,58,58,0,164.000000,58,164.000000,29538.000000,0.555217,100.000000,100.000000
Conventional base public high schools,2024,58,58,0,175.000000,58,175.000000,29771.000000,0.587820,100.000000,100.000000
Conventional base public high schools,2025,58,57,1,170.000000,57,170.000000,30582.000000,0.555883,98.275862,98.275862
Conventional base public high schools,2026,58,58,0,231.000000,58,231.000000,30854.000000,0.748687,100.000000,100.000000
Private schools,2023,16,16,0,26.000000,11,14.000000,979.000000,1.430031,100.000000,68.750000
Private schools,2024,16,16,0,26.000000,0,,,,100.000000,0.000000
Private schools,2025,16,16,0,34.000000,11,20.000000,1015.000000,1.970443,100.000000,68.750000
Private schools,2026,16,16,0,35.000000,1,9.000000,40.000000,22.500000,100.000000,6.250000
TJHSST,2023,1,1,0,132.000000,1,132.000000,461.000000,28.633406,100.000000,100.000000
TJHSST,2024,1,1,0,165.000000,1,165.000000,441.000000,37.414966,100.000000,100.000000
TJHSST,2025,1,1,0,81.000000,1,81.000000,504.000000,16.071429,100.000000,100.000000
TJHSST,2026,1,1,0,113.000000,1,113.000000,523.000000,21.606119,100.000000,100.000000
